,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
173,84.0,36.0,42.0,19.0,95.0,15.0,Wethersfield,CT,,['John Robbins'],Hartford County,town,84.36
174,1252.0,29.0,626.0,14.0,825.0,83.0,Wethersfield,CT,,['Elias Williams'],Hartford County,town,1252.29
175,58.0,9.0,29.0,4.0,20.0,19.0,Wethersfield,CT,,['Elial Williams'],Hartford County,town,58.09
176,164.0,31.0,82.0,16.0,186.0,,Wethersfield,CT,Treasurer Stepney Society,['Elias Williams'],Hartford County,town,164.31
177,120.0,71.0,60.0,36.0,97.0,55.0,Hartford,CT,,['William Joseph and Richard Hart'],Hartford County,town,120.71
178,200.0,,100.0,,167.0,50.0,Tolland,CT,,['Daniel Edgerton'],Tolland County,town,
179,666.0,67.0,333.0,33.0,180.0,,Danbury,CT,,['Thomas Starr'],Fairfield County,town,666.67
180,1224.0,81.0,612.0,40.0,659.0,45.0,Goshen,CT,,['Ephraim Starr'],Litchfield County,town,1224.81
181,5567.0,45.0,2783.0,72.0,3979.0,75.0,Goshen,CT,,['Ephraim Starr'],Litchfield County,town,5567.45
182,219.0,58.0,109.0,79.0,120.0,,Woodstock,CT,,['William Morris'],Windham County,town,219.58
183,99.0,53.0,49.0,76.0,63.0,57.0,Coventry,CT,,['Benjamin Case'],Tolland County,town,99.53
184,398.0,2.0,199.0,1.0,159.0,85.0,Boston,MA,,['John Coburn'],Suffolk County,town,398.02
185,164.0,65.0,82.0,32.0,172.0,30.0,Fairfield,CT,,"['Andrew Elliot', 'Andrew Eliot']",Fairfield County,town,164.65
186,12.0,18.0,6.0,9.0,8.0,77.0,Fairfield,CT,,['Eliphalet Hull'],Fairfield County,town,12.18
187,35.0,17.0,17.0,59.0,25.0,32.0,Fairfield,CT,,['Isaac Jennings'],Fairfield County,town,35.17
188,1585.0,73.0,792.0,86.0,439.0,55.0,Newington,CT,,['Martin Kellogg'],Hartford County,town,1585.73
189,388.0,33.0,194.0,16.0,279.0,61.0,Fairfield,CT,,['Jonathan Sturges'],Fairfield County,town,388.33
190,165.0,70.0,82.0,85.0,125.0,88.0,Glastonbury,CT,,['Josiah Hale'],Hartford County,town,165.7
191,1446.0,9.0,723.0,4.0,1377.0,99.0,Bolton,CT,,['Ichabod Warner'],Tolland County,town,1446.09
192,959.0,46.0,479.0,73.0,446.0,24.0,Litchfield,CT,,['Seth Bird'],Litchfield County,town,959.46
193,1309.0,56.0,654.0,78.0,1089.0,8.0,Windsor,CT,,['James Hooker'],Hartford County,town,1309.56
194,825.0,55.0,412.0,78.0,341.0,31.0,Windham,CT,,['Jabez Clark'],Windham County,town,825.55
195,2235.0,50.0,1117.0,75.0,962.0,83.0,Windham,CT,,['Samuel Gray'],Windham County,town,2235.5
196,307.0,41.0,153.0,71.0,368.0,,Colchester,CT,,['Samuel Kellogg'],New London County,town,307.41
197,648.0,43.0,324.0,22.0,233.0,45.0,Farmington,CT,,['Samuel Richards'],Hartford County,town,648.43
198,410.0,16.0,205.0,8.0,497.0,42.0,Norwich,CT,,['Joseph Strong'],New London County,town,410.16
199,3327.0,0.0,1663.0,50.0,1326.0,37.0,New Haven,CT,,['Samuel Wales'],New Haven County,town,3327.0
200,1569.0,86.0,784.0,93.0,707.0,27.0,New London,CT,Merchant,['Thomas Shaw'],New London County,town,1569.86
201,416.0,10.0,208.0,5.0,348.0,62.0,Lyme,CT,,['Seth Smith'],New London County,town,416.1
202,25.0,33.0,12.0,66.0,6.0,86.0,Wethersfield,CT,,['Camp Adams'],Hartford County,town,25.33
203,6706.0,11.0,3353.0,6.0,5195.0,98.0,New Haven,CT,,['David Austin'],New Haven County,town,6706.11
204,3435.0,37.0,1717.0,68.0,932.0,6.0,Hebron,CT,,['Daniel Brown'],Tolland County,town,3435.37
